compound,tokens_BERT,tokens_Llama
chalkbaby,"chalk, ##ba, ##by","ch, alk, b, aby"
sportpower,"sport, ##power","sport, power"
winebrain,"wine, ##bra, ##in","wine, bra, in"
bookbasin,"book, ##bas, ##in","book, bas, in"
grassgap,"grass, ##ga, ##p","grass, g, ap"
catpen,"cat, ##pen","cat, pen"
screenday,"screen, ##day","sc, re, end, ay"
prisonlap,"prison, ##la, ##p","prison, lap"
rifleshelf,"rifles, ##hel, ##f","rif, lesh, elf"
sungown,"sung, ##own","s, ung, own"
