compound,tokens_BERT,tokens_Llama
catnap,"cat, ##na, ##p","cat, nap"
schoolyard,"school, ##yard","school, yard"
wheelchair,wheelchair,"wheel, ch, air"
birthday,birthday,"birth, day"
factsheet,"facts, ##hee, ##t","fact, sheet"
businesswoman,"business, ##woman","business, w, oman"
restroom,restroom,"rest, room"
mountaintop,"mountain, ##top","mount, aint, op"
photobook,"photo, ##book","phot, ob, ook"
spaceship,spaceship,"spaces, hip"
