"corpus","ukwac"
"subcorpus","-"
"concordance size","47038"
"query","Query:[lc=""makes"" | lemma_lc=""makes""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"jardmail.co.uk","coffee"," makes","  sperm  swim"
"taylorbells.co.uk","on and what"," makes","  people  seek"
"fylde.demon.co.uk","Juninho"," makes","  way  for young"
"gerty.ncl.ac.uk","of fmz that"," makes","  fandom  really"
"crewecvs.org.uk",". Of course, he"," makes","  use  of other"
"worldwar1.co.uk","your mom"," makes","  tastes  like"
"markhadley.co.uk","etc) hope that"," makes","  sense  choaf RE"
"bio.bris.ac.uk","Research"," makes","  people  laugh,"
"bio.bris.ac.uk","Artist. She"," makes","  drawings  of"
"william-shakespeare.org.uk","layers that it"," makes","  sense  to"
"william-shakespeare.org.uk","issues and"," makes","  things  more"
"michaelkelly.fsnet.co.uk","services that"," makes","  access"
"bristolfiesta.co.uk",". Surely that"," makes","  everything"
"accountability.org.uk",". SPIRIT"," makes","  use  of several"
"cheshirefire.co.uk","all. But what"," makes","  Earthlink"
"carmarthenshire.gov.uk","encryption"," makes","  people  feel"
"thenewspaper.org.uk","paragraph (1)"," makes","  provision  for"
"thenewspaper.org.uk","paragraph (1)"," makes","  provision  for"
"freenetpages.co.uk","and the report"," makes",""
"recyclezone.org.uk","correlation"," makes","  sense  ,?"
"colc.co.uk","my foot, which"," makes","  cycling"
"extra.rdg.ac.uk","list"," makes","  sense  , as that"
"armyoneverest.mod.uk",""" might"," makes","  right  "". At the"
"armyoneverest.mod.uk","and"," makes","  reparation"
"liverweb.org.uk","but tbd. what"," makes","  life  precious"
"risc.org.uk","line manager"," makes","  people  want to"
"universalenergycentre.co.uk","of "" might"," makes","  right  "". Just"
"healthmatters.org.uk",", the body"," makes","  antibodies"
"eagle19.freeserve.co.uk","4) A person who"," makes","  default  in"
"whatsonbristol.co.uk","says. ? But it"," makes","  people  more"
"taylorbells.co.uk","","makes","  sense  in a Web"
"taylorbells.co.uk",", that"," makes","  sense  to"
"asab.icapb.ed.ac.uk","Kylie Minogue"," makes","  showbiz"
"spacecentre.co.uk","level and that"," makes","  sense  within"
"jdhooker.org.uk","What is it that"," makes","  commentators"
"kavkaz.org.uk","institution"," makes","  use  of open"
"tuc.org.uk","God. The Koran"," makes","  reference  to"
"cph.rcm.ac.uk","that it"," makes","  sense  for"
"retirement-matters.co.uk","survey of what"," makes","  students  want"
"new-agri.co.uk","2002: Fergie"," makes","  signing  for"
"ashmol.ox.ac.uk","that probably"," makes","  sense  , "" the"
"bitsnstuff.co.uk","manager who"," makes","  lines  for"
"englishmonarchs.co.uk","which"," makes","  travel  more"
"careers.ed.ac.uk","module, which"," makes","  today  my kinda"
"funk.co.uk",". "" "" That"," makes","  sense  ... Not."
"jesushouse.org.uk","that"," makes","  data  binding"
"anorak.co.uk","directive"," makes","  equipment"
"thesmallholdingcentre.co.uk",". The network"," makes","  easy-to-read"
"itgovernance.co.uk",". This mission"," makes","  artillery"
"spidercox.co.uk","embroidery,"," makes","  speech"
"dmag.org.uk",","," makes","  at-a-glace"
"liverpoolmuseums.org.uk","that"," makes","  sense  to the"
"ayrshirehistory.org.uk","that"," makes","  articles  and"
"qaa.ac.uk","Plan also"," makes","  studentship"
"inspectormorse.co.uk","against Iraq"," makes","  war  between"
"lincolnshire.gov.uk",". This"," makes","  sense  of"
"philobiblon.co.uk","young"," makes","  sense  , and we"
"bures-online.co.uk",". "" But Craig"," makes","  defenders"
"orthodoxengland.btinternet.co.uk","discuss what"," makes","  poetry  , what"
"ferl.becta.org.uk","that what"," makes","  something"
"solgar.co.uk",", the signpost"," makes","  space  science"
"solgar.co.uk","Signpost"," makes","  space"
"kinnethmont.co.uk","what"," makes","  bacteria  tick"
"francealacarte.org.uk","technique"," makes","  control  more"
"francealacarte.org.uk","movement SOP"," makes","  planning"
"newbury-racecourse.co.uk",", it certainly"," makes","  life  a lot"
"epsr-marx-lenin.co.uk",", the view"," makes","  m  ghostly: it"
"epsr-marx-lenin.co.uk",","," makes","  use  of what is"
"fylde.demon.co.uk","campaign"," makes","  use  of"
"realclassic.co.uk","publishes or"," makes","  material"
"davesrcflight.mysite.wanadoo-members.co.uk",", and"," makes","  proposals  to"
"milknbiscuits.co.uk","undertake. It"," makes","  sense  for"
"nimh.org.uk","in which he"," makes","  fun  of the"
"res.org.uk","that ''Dumas"," makes","  paintings"
"res.org.uk","that"," makes","  something  out"
"bures-online.co.uk","of outreach"," makes","  supervision  ,"
"sovereignty.org.uk","farmer"," makes","  allowances"
"errl.org.uk",", but he still"," makes","  news"
"lucas.ucs.ed.ac.uk","2005 Heat Wave"," makes","  news  This week"
"washerhelp.co.uk","that the view"," makes",""
"washerhelp.co.uk","roughly it"," makes","  awareness"
"washerhelp.co.uk","have, that it"," makes",""
"londontaxiexports.co.uk",". This site"," makes","  use  of Dublin"
"pores.bbk.ac.uk","module, which"," makes","  today  my kinda"
"ajb007.co.uk","to do it. ) This"," makes","  life  much"
"ajb007.co.uk","this simply"," makes","  life  easier"
"kahun.man.ac.uk",". Involvement"," makes",""
"kahun.man.ac.uk",", it"," makes","  sense  to"
"open.ac.uk","of locations"," makes","  analysis"
"fool.co.uk","us. It only"," makes","  sense  that we"
"futurelab.org.uk","which memory"," makes","  poems  when we"
"ics.leeds.ac.uk","only"," makes","  sense  in the"
"youngminds.org.uk","that it"," makes","  matters  worse"
"hm-treasury.gov.uk","scripts. This"," makes","  cgi-upload"
"growell.co.uk",". Such work"," makes","  ends  meet, but"
"kierenmccarthy.co.uk","all cancers"," makes","  business"
"catholic-ew.org.uk","process"," makes","  composers  and"
"phrases.org.uk","it. Our site"," makes","  use  of cookies"
"parentzonescotland.gov.uk",", it simply"," makes","  things"
"exeter.gov.uk","Data The ISC"," makes","  data"
"theglobalsite.ac.uk","climate"," makes","  life"
"cleanersafergreener.gov.uk","feature"," makes","  stories"
"cer.org.uk","government"," makes","  safety"
"diabetesdialogue.org.uk","that in itself"," makes","  things"
"bnbstar.co.uk","these tracks"," makes","  sense  as it"
"dancing-times.co.uk","home, which"," makes","  contact  with"
"blog.natbat.co.uk","None but a fool"," makes","  television"
"virgintrains.co.uk","and"," makes",""
"boxhill.co.uk","; and"," makes","  teacher"
"assetprotections.co.uk","60s-Scott and"," makes","  sense"
"rbge.org.uk","it"," makes","  sense  to adopt"
"windmill.co.uk","an Icon? What"," makes","  something  an"
"mara.org.uk","with care - it"," makes","  TCP  less"
"e-learningcentre.co.uk","to produce it"," makes","  sense  for"
"rcsed.ac.uk","that"," makes","  use  of the LAN,"
"lda.gov.uk","thing is what"," makes","  async"
"millcroftvets.co.uk","nest, which"," makes","  sense  from a"
"cftrust.org.uk","misguidedly)"," makes","  everything"
"britishhighcommission.gov.uk","this article"," makes","  use  of"
"drumnetwork.co.uk","''you know it"," makes","  sense  ''"
"politicalcartoon.co.uk","together. It"," makes","  flatpack"
"politicalcartoon.co.uk","what, if that"," makes","  sense  ! Bit of a"
"micromaterials.co.uk","Cook, which"," makes","  sense  given"
"flycom.co.uk",", which"," makes","  forums  well"
"adfam-parents.org.uk","offer letter"," makes","  reference  to"
"walterscott.lib.ed.ac.uk","and"," makes","  use  of it to"
"hilton.org.uk","Identify what"," makes","  people"
"dailyinfo.co.uk","the Stations"," makes","  sense  of"
"hush-hush.co.uk","in PHP and"," makes","  pages  by"
"ashmol.ox.ac.uk","Pawel Janas"," makes","  changes  to his"
"threader.ecs.soton.ac.uk","been booked,"," makes","  way  for the"
"a-day-in-the-life.powys.org.uk","choice is what"," makes","  inclusion  a"
"focusmag.co.uk","which"," makes","  Mme  de"
"focusmag.co.uk",", the painter"," makes","  play  with"
"csp.org.uk","enhances EDA,"," makes","  patterns  more"
"csp.org.uk",", Mass"," Makes","  use  of"
"magonia.demon.co.uk","and it"," makes","  water  more"
"dancing-times.co.uk",". Hope that"," makes","  sense  ."
"schoolshistory.org.uk","an eye for what"," makes","  something"
"cer.org.uk","the airport it"," makes","  sense  to check"
"cma.soton.ac.uk",". '' Man"," makes","  home  in"
"famousquotes.me.uk","the therapist"," makes","  use  of the"
"mysouthbank.co.uk","is really"," makes","  use  of the"
"uncaged.co.uk","software that"," makes","  assumptions"
"millcroftvets.co.uk",". "" "" Every one"," makes","  mistakes  . You"
"nwtv.co.uk","what is it that"," makes","  CDCs  so"
"toppetshop.co.uk","(c. 18) (which"," makes","  provision  for"
"bordercrossings.org.uk",", the Church"," makes","  reason  really"
"rodge.force9.co.uk","that"," makes","  use  of the"
"flooringsupplies.co.uk","(DWP)"," makes","  hundreds  of"
"npl.co.uk","that this"," makes",""
"digitaltoast.co.uk","Google CEO"," makes","  call  to action"
"digitaltoast.co.uk","Google CEO"," makes","  call  to action"
"portakabin.co.uk","in form-room?"," makes","  allusions  , an"
"portsmouthfairtrade.org.uk","; and even if he"," makes","  land  at some"
"microscopy-uk.org.uk","you need it."," Makes","  life  easier"
"cheltenham.gov.uk","in a way that"," makes","  sense  . That ''s"
"macclesfield.gov.uk","of the above"," makes","  sense  to you,"
"alternativelook.co.uk","Dodson"," makes","  concerns  my"
"crbs.org.uk","? Now it all"," makes","  sense  . Thanks"
"family-ancestry.co.uk","("" A "") who"," makes","  work"
"emotionalprocessing.org.uk",", that it"," makes","  sense  to"
"portsmouthwater.co.uk","date and also"," makes","  provision  for"
"smj.org.uk","a church and"," makes","  provocation  ,"
"bowness.demon.co.uk","from below and"," makes","  progress"
"bodystressrelease.co.uk",", but it"," makes","  use  of"
"eagle19.freeserve.co.uk","routines, it"," makes","  study  so much"
"mankind.co.uk","in. This"," makes","  inhalers"
"sparklemotion.co.uk","Doug"," makes","  epic  trip for"
"sparklemotion.co.uk","here Head"," makes","  U-turn  on"
"top50freebies.co.uk","1995, which"," makes","  provision  for"
"org.suw.org.uk",". That"," makes","  life  tough for"
"fdsystems.co.uk","that consent"," makes","  marriage  over"
"hillside.co.uk","one program"," makes","  use  of"
"ocr.org.uk","the goverment"," makes","  something"
"www-micro.msb.le.ac.uk","to the DTI"," makes",""
"fametastic.co.uk","and"," makes","  people  want to"
"smj.org.uk",", so it"," makes","  sense  I guess!"
"key-arts.co.uk","class. That"," makes","  sense  . It is"
"heraldav.co.uk","groups. It"," makes","  sense  to"
"sudokuz.co.uk",". Checks and"," makes","  adjustments"
"f1comp.co.uk","Google which"," makes","  use  of"
"armyoneverest.mod.uk","Plan also"," makes","  studentship"
"safety.ngfl.gov.uk","to jazz, and"," makes","  women  feel"
"network-box.co.uk",", where it"," makes","  sense  to work"
"newcastle.ac.uk",". Poetry"," makes","  words  count"
"mikosw.co.uk","(im sure that"," makes","  sense  ie"
"theorieslandscapes.co.uk","what"," makes","  places  work."
"oncology.cam.ac.uk","approach:"," Makes","  use  of OECD, EU"
"fylde.demon.co.uk","campaign"," makes","  sense-it"
"bornfree.org.uk","therefore it"," makes","  sense  to"
"royalcollection.org.uk","policy and"," makes",""
"elevenplusadvice.co.uk","to himself. """," Makes","  sense  . You hit"
"studentcentral.co.uk","number"," makes","  sense  only"
"bacta.org.uk","the Saloon (it"," makes","  sense  , really"
"artshole.co.uk","more than he"," makes","  haste  to blot."
"exeter.gov.uk","download."," Makes","  charts  and"
"dh.gov.uk",". ''What"," makes","  something  a"
"lionsclub.org.uk",", it also"," makes","  judgements  as"
"usitt.ecs.soton.ac.uk","which"," makes","  confidence"
"setdanceteacher.co.uk","I ''m not sure it"," makes","  sense  to fork"
"perse.co.uk","readers,"," makes","  connections"
"sais.gov.uk","on, you know it"," makes","  sense  to walk"
"sais.gov.uk","and the Web it"," makes","  sense  . I don''t"
"fiso.co.uk","what it is that"," makes","  computer"
"tclt.org.uk","where this"," makes","  sense  . exit (["
"ukbap.org.uk","young"," makes","  sense  , and we"
"sportabroad.co.uk","run you do, it"," makes","  sense  to talk"
"whitedragon.org.uk",". COSCOM"," makes","  throughput  of"
"whitedragon.org.uk","occurring"," makes","  evacuation  of"
"southwestrda.org.uk","levels Paul"," makes","  use  of many of"
"isfp.co.uk","What really"," makes","  people  glad to"
"isfp.co.uk","that what"," makes","  experience"
"accfinweb.account.strath.ac.uk","routines, it"," makes","  study  so much"
"simonmarsden.co.uk",". EARTH - what"," makes","  Earth  so"
"oudancesport.co.uk","Presidency"," makes","  life  more"
"formula.co.uk","and birdsong"," makes","  life  worth"
"strathclyde.police.uk","this approach"," makes","  sense  for"
"alite.co.uk","that"," makes","  life  worth"
"teachernet.gov.uk","letter man"," makes","  DNA"
"mansized.co.uk",": Q JUMPING:"," makes","  contribution"
"vector.org.uk","find out what"," makes","  people  tick ("
"untoldlondon.org.uk","'' Sheahan also"," makes","  mention  of a"
"londontheatre.co.uk","Col 1.6-8), it"," makes","  sense  to see"
"essex-homeopathy.co.uk","to God. He"," makes","  headlines  in"
"blokesonly.co.uk","you, hope it"," makes","  sense  . Im 29yr"
"manpower.co.uk","and"," makes","  mischief  ? she"
"manpower.co.uk","about what"," makes","  people  tick &"
"treehuggermums.co.uk","ignoring what"," makes","  intergroup"
"ourladys.hackney.sch.uk","theories and"," makes","  comparisons"
"kented.org.uk","seventh form"," makes","  name"
"familydoctor.co.uk","impacts, EIA"," makes","  provision  for"
"wessexscene.co.uk","As Microsoft"," makes","  changes  to its"
"mellotone.co.uk","too. The level"," makes","  use  of a little"
"www-sedgwick.esc.cam.ac.uk","articles also"," makes","  extraction  of"
"ess.uwe.ac.uk","who"," makes","  use  of"
"ess.uwe.ac.uk","also"," makes","  use  of"
"catholic-ew.org.uk","features that"," makes","  SBD  a"
"stephthornton.co.uk","of the future"," makes","  student"
"cpgb.org.uk","controls also"," makes","  things  a blast"
"youngminds.org.uk",", it also"," makes","  suggestions"
"www-jcsu.jesus.cam.ac.uk","Report"," makes","  use  of two"
"www-jcsu.jesus.cam.ac.uk","measures"," makes","  everything"
"patent.gov.uk",". It certainly"," makes","  scholars"
"physiol.ox.ac.uk","which"," makes","  use  of the"
"i-sis.org.uk","width ["," makes","  gesture  with"
"headheritage.co.uk",". This site"," makes","  use  of Dublin"
"hmrc.gov.uk",". This"," makes","  managers  very"
"eprints.gla.ac.uk",")"," makes","  poetry  of that"
"cnetwork.co.uk",":? Dave Allen"," makes","  people  feel as"
"blog.natbat.co.uk","plants and"," makes","  elixirs  ,"
"growingbusiness.co.uk","in 1987. She"," makes","  poetry  the"
"hysteria-lives.co.uk","rivalry Ames"," makes","  monkey  of"
"diydoctor.org.uk","it clearly"," makes","  sense  for them"
"diydoctor.org.uk","theories and"," makes","  comparisons"
"udsu.co.uk","... "", which"," makes","  sense  , I"
"udsu.co.uk",", the album"," makes","  sense  , and"
"footy4kids.co.uk","can see it"," makes","  sense  , or"
"reading.ac.uk","schema"," makes","  life"
"evuk.co.uk","Angeles that"," makes","  sense  ; the"
"schoolshistory.org.uk","a bill that"," makes","  same-sex"
"crassh.cam.ac.uk","consistently"," makes","  reference  to"
"fitz.cam.ac.uk","tunnels, so it"," makes","  sense  that"
"ltu.mmu.ac.uk","do that. What"," makes","  research"
"microscopy-uk.org.uk",", Rouvière"," makes","  space  for a"
"defence-estates.mod.uk",". It"," makes","  grants  in four"
"network-box.co.uk","Anything that"," makes","  morality"
"edietsuk.co.uk","language that"," makes","  things  work."
"ccpr.org.uk","again. Bloke"," makes","  conversation"
"lawblog.uea.ac.uk","only really"," makes","  sense  in the"
"bexley.gov.uk","music that"," makes","  practice"
"thefatcat.co.uk",". Loudon even"," makes","  use  of Shelley"
"ownersdirect.co.uk",". This site"," makes","  use  of Dublin"
"whisperingspirits.co.uk","the abstract"," makes","  use  of"
"britishdruidorder.co.uk","''s views, then"," makes","  decision"
"britishdruidorder.co.uk",", patient"," makes","  decision  Self"
"britishdruidorder.co.uk","''s views, then"," makes","  decision"
"britishdruidorder.co.uk",", patient"," makes","  decision"
"scips.worc.ac.uk",", as s/ he"," makes","  analyses"
"synergy-health.co.uk","where it"," makes","  contact  with"
"walterscott.lib.ed.ac.uk","this simply"," makes","  life  easier"
"railwaychildren.org.uk","king, this"," makes","  sense  of David"
"railwaychildren.org.uk",", Deines"," makes","  reference  to"
"rmd.dft.gov.uk","Denmark. If it"," makes","  sense  there,"
"assetprotections.co.uk","What is it that"," makes","  commentators"
"news.cheapflights.co.uk","Department"," Makes","  Repairs  to"
"pantaneto.co.uk","for military"," makes","  mockery  of UK"
"cheers-wine-merchants.co.uk","so it now"," makes","  sense  ."
"dmflightsim.co.uk","your surgeon"," makes","  light  of the"
"rubberturnip.org.uk","on, you know it"," makes","  sense  to walk"
"newbusiness.co.uk","that is what"," makes","  money  these"
"scottishtorymeps.org.uk","walking. So it"," makes","  sense  what you"
"darley.co.uk",", which"," makes","  tset  -S"
"materials.ac.uk",", so it"," makes","  sense  to know"
"bronte.netfury.co.uk","statement"," makes","  provision  for"
"rss.org.uk","context"," makes","  things  a"
"hlst.heacademy.ac.uk","off you and"," makes","  things  easier"
"bordercrossings.org.uk","one, so it"," makes","  sense  to"
"toysdirecttoyourdoor.co.uk",". It"," makes","  sense  then to"
"fisheries.co.uk","tests which"," makes","  sense  . Some do"
"questors.org.uk",". "" Where it"," makes","  sense  for"
"inspectormorse.co.uk",", then it"," makes","  sense  to offer"
"armyoneverest.mod.uk","The only way it"," makes","  sense  is as in """
"network-box.co.uk","way. Which"," makes","  sense  , I guess"
"thekidswindow.co.uk","only really"," makes","  sense  when"
"bhx.co.uk","annoyingly"," makes","  changes  to the"
"ypressalient.co.uk","option"," makes","  sense  . Marx"
"footy4kids.co.uk","marriage"," makes","  ''affairs  seem"
"hibberts.co.uk","Court, and it"," makes","  sense  to get"
"swan.ac.uk",". I suppose it"," makes","  sense  to"
"holidaylettings.co.uk","so it"," makes","  sense  to use"
"careers-scotland.org.uk","BUT This set up"," makes","  in-vessel"
"cmtr.co.uk","to draw"," makes","  things  even"
"kensington-unitarians.org.uk","defensive."," Makes","  sense  . If we"
"teachers.org.uk","the base class"," makes","  use  of private"
"kneeling.co.uk","''s job, and who"," makes","  life  so"
"bavington.nildram.co.uk",", the HGC"," makes",""
"ml-consult.co.uk","it also"," makes","  use  of"
"yorkracecourse.co.uk","*this = *that;"," makes","  $this  an alias"
"yorkracecourse.co.uk","; temporarily"," makes","  $Here  : :blue"
"hysteria-lives.co.uk",", Andy also"," makes","  use  of a mimeo"
"businessbureau-uk.co.uk",". Exercise"," makes","  bones  and"
"shocknet.org.uk","butterfly"," makes","  patterns  on"
"raworths.co.uk","it"," makes","  sense  for the"
"richmondreview.co.uk",". He usually"," makes","  things  much"
"educ.cam.ac.uk","where it"," makes","  sense  to offer"
"ypressalient.co.uk","needs. It only"," makes","  electricity  ,"
"willanpublishing.co.uk","internet also"," makes",""
"sofeminine.co.uk","and naturally"," makes","  things  like"
"golgotha.org.uk","of the time, it"," makes","  sense  to"
"easyweb.easynet.co.uk","Nations"," makes","  sense  for us to"
"socialism.org.uk","outdoors that"," makes","  food  taste"
"edietsuk.co.uk","? Crystal meth"," makes","  crack  cocaine"
"skiclub.co.uk","way that"," makes","  sense  in"
"royalpioneercorps.co.uk","times when it"," makes","  sense  to"
"vads.ahds.ac.uk","in the shots."," Makes","  life  more fun!"
"ucreative.ac.uk","people and"," makes",""
"birdfinders.co.uk","the public"," makes","  decisions"
"nya.org.uk","available and"," makes",""
"dcs.gov.uk","certainly"," makes","  life  easier"
"scotclimb.org.uk","06/ 06) What"," makes","  things  worse"
"bacta.org.uk","grip, which"," makes","  writing  feel"
"essc.org.uk","box, which"," makes","  reading"
"lewisham.gov.uk","where this"," makes","  sense  ."
"periodproperty.co.uk",", Fiffy just"," makes","  levels  that"
"nurse-prescriber.co.uk","as they did"," makes","  sense  . In a US"
"harpercollins.co.uk","not bombs. Who"," makes","  weapons  of"
"wildfowling.co.uk","a company that"," makes","  tomahawk"
"youclaim.co.uk","constitution"," makes","  provision"
"seangabb.co.uk","the eye, which"," makes","  everything"
"pushchairs.co.uk","educators, it"," makes","  sense  to"
"scri.sari.ac.uk","air, which"," makes","  men  close"
"hysteria-lives.co.uk","but I ''m sure it"," makes","  sense  to some"
"caroluk.co.uk",") effectively"," makes","  interception"
"caroluk.co.uk","price. This"," makes","  aluminium"
