"corpus","ukwac"
"subcorpus","-"
"concordance size","20642"
"query","Query:[lc=""uses"" | lemma_lc=""uses""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"musiconmypc.co.uk",", this site"," uses","  cookies  to"
"spaced-out.org.uk","editor"," uses","  information"
"psni.police.uk","sad theme"," uses","  oboe  , strings"
"jwnash.co.uk","which also"," uses","  a[cri  to"
"martialedge.co.uk","Perl also"," uses","  \10  , \11, etc."
"exporteastofengland.org.uk","rhythm which"," uses","  hypnose  in the"
"homepages.ed.ac.uk","exhibit,"," uses","  woodcut"
"crbs.org.uk",". -b hostalias"," Uses","  bind(2  ) on the"
"paperworkscardcraft.co.uk","which"," uses","  poetry  . There"
"scotcourts.gov.uk",", Graig Farm"," uses","  pork  from pigs"
"helo.co.uk","innovative"," uses","  Familiarity"
"womens-health.co.uk","everybody who"," uses","  dollars  will"
"bradburyac.mistral.co.uk","Eckhart Tolle"," uses","  words  as"
"blog.outofthebedroom.co.uk","project 2006 -"," uses","  Coursework  ,"
"beingmrkenny.co.uk","group"," uses","  force  in a"
"teachingenglish.org.uk",". One that"," uses","  std  : :string"
"childsafety.co.uk","Very low cost"," Uses","  skills"
"childsafety.co.uk","and other"," uses","  Barbed  wire ("
"busybeebasics.co.uk","The JPG format"," uses","  compression"
"teachers.org.uk","new, but she"," uses","  evidence  to"
"mud.co.uk","but Airflo"," uses","  polyurethane"
"mookychick.co.uk","fancy. It only"," uses","  electricity"
"southwark-bells.org.uk","research"," uses","  outcrop  data,"
"poetrymagic.co.uk",", if your page"," uses","  frames  be"
"retirement-matters.co.uk","Man How the US"," uses",""
"bodystressrelease.co.uk","sample method"," uses","  population"
"medievalfreeco.org.uk","provision and"," uses","  case  studies"
"stewardsschool.co.uk","gene therapy"," uses","  inhibitors  of"
"lse.co.uk","railroad"," uses","  gunpowder"
"sudokuz.co.uk",". Push Email"," Uses","  technology  to"
"wildfowling.co.uk","pl library. It"," uses","  pseudo-ttys"
"orbitbooks.co.uk","Tim Stamper"," uses","  media  mogul"
"businessmatch.org.uk","in 60 who"," uses","  seroxat  makes"
"englishmonarchs.co.uk","web site that"," uses","  photographs"
"tonearm.co.uk","typically"," uses","  copyleft  to"
"oncology.cam.ac.uk","approach:"," Uses","  alternatives"
"studentcentral.co.uk",": This service"," uses","  cookies  for"
"dcs.ed.ac.uk","Ali, or Alix,"," uses","  ''DNA  '' to"
"flyinghaggis.co.uk","The date below"," uses","  Javascript  ."
"financial-ombudsman.org.uk","of meshing"," uses","  ''Autogem  ''"
"portakabin.co.uk",") approach. It"," uses","  lysozyme  , and"
