"corpus","ukwac"
"subcorpus","-"
"concordance size","23504"
"query","Query:[lc=""used"" | lemma_lc=""used""][lc=""by"" | lemma_lc=""by""];Positive filter (excluding KWIC):1 1 1 [tag=""Nc.*""];GDEX:100 "
"thamesweb.co.uk","GAM was ` being"," used by","  subversion  ,"
"martialedge.co.uk",", the case map"," used by","  \l  , \L, \u and"
"untoldlondon.org.uk","really"," used by","  men  ; and, at"
"geologywales.co.uk","Rower is"," used by","  people  from"
"tribes.co.uk","like to be"," used by","  default  on the"
"brass.cf.ac.uk","continue to be"," used by","  politicians"
"cs.bris.ac.uk","systems"," used by","  tools  such as"
"cs.bris.ac.uk","base systems"," used by","  tools  like"
"natwest.co.uk","safety glass"," used by","  transport  and"
"mandrake.demon.co.uk","images are"," used by","  Buddhist"
"teachingenglish.org.uk","can also be"," used by","  authors  and"
"teachingenglish.org.uk","which can be"," used by",""
"ayrshirehistory.org.uk",". This may be"," used by","  life  sentence"
"bures-online.co.uk","no doubt been"," used by","  villagers"
"independentliving.co.uk","guidance"," used by","  staff  in"
"birminghamfoe.org.uk","behaviors are"," used by","  adults  to"
"exposure.co.uk","on an office"," used by","  forces  loyal"
"exposure.co.uk","it said was"," used by","  militants  . It"
"mara.org.uk","are"," used by","  TCP  to"
"motorinsurance.co.uk","has passed its"," used by","  date  ? Does St"
"britishhighcommission.gov.uk","for metaphor"," used by","  linguist"
"walterscott.lib.ed.ac.uk","guidance"," used by","  officials  in"
"article19.co.uk","that are often"," used by","  fox  hunts. I"
"rob.annable.co.uk","","used by","  health"
"congressfordemocracy.org.uk","'' is often"," used by","  providers  of"
"partnerships.org.uk","Act can be"," used by","  anyone  , even a"
"cheers-wine-merchants.co.uk","exploited and"," used by","  film  . """
"cilip.org.uk",". Taxed Carts"," used by","  persons"
"carnegieuktrust.org.uk","of System when"," used by","  Students  with"
"epilepsynse.org.uk","were widely"," used by","  leavers  from"
"britishdruidorder.co.uk","is normally"," used by","  programs  that"
"garethjmsaunders.co.uk","have been"," used by","  thousands  of"
"rodge.force9.co.uk","intended to be"," used by","  groups  of"
"britishdruidorder.co.uk","strategies"," used by","  teachers  ("
"ukbap.org.uk","that was"," used by","  ''every  man,"
"robertbuchanan.mysite.wanadoo-members.co.uk","endurance."," Used by","  hikers  and"
"clandonald.org.uk","strategies"," used by","  clinics  that"
"lums.lancs.ac.uk","strategies"," used by","  lions  . Skip"
"v-e-t-s.co.uk","is being"," used by","  schools  . We"
"phundria.org.uk","that can be"," used by","  anyone  -"
"saa.co.uk","the languages"," used by","  translators  ,"
"fairtrade.org.uk","Solution is"," used by",""
"fairtrade.org.uk",". It is also"," used by",""
"durhamcathedral.co.uk",", etc."," Used by","  business"
"thurrock.gov.uk","is being"," used by","  schools  ."
"fleet-tutors.co.uk",", not to be"," used by","  children  ,"
"mankind.co.uk","are usually"," used by","  asthma"
"alcs.group.shef.ac.uk","is not being"," used by",""
"g-l.co.uk","(LD) is"," used by","  biologists  to"
"freenetpages.co.uk","by others "" and"," used by","  others  "" and"
"contours.co.uk","the canvases"," used by","  lichen  and"
"bornfree.org.uk","the argument"," used by",""
"amlwchdata.co.uk","are often"," used by","  site"
"microscopy-uk.org.uk","and smearing"," used by","  liberals  to"
"dh.gov.uk","database is"," used by","  birdwatchers"
"diabetesdialogue.org.uk","and was"," used by","  Chaucer  in his"
"lff.org.uk",", it can be"," used by","  Police  to"
"railscot.co.uk","down a church"," used by","  Tongans  and"
"andsoitbegins.co.uk","), a company"," used by","  others  and"
"italian.classic-literature.co.uk","to Stream to be"," used by","  code  that"
"fashionunited.co.uk","which might be"," used by","  farmers"
"voiceoftheslug.org.uk","Strong,"," used by","  permission  ."
"nutrition.org.uk","is mainly"," used by","  alcohol"
"strathclyde.police.uk","of English"," used by","  speakers  of"
"hagstrom.org.uk","may have been"," used by","  pilgrims  for"
"neilwhite.org.uk","the section"," used by","  gamma"
"hazlewood-castle.co.uk","","used by","  gelfand  :"
"swwater.co.uk","examples"," used by","  pros  and"
"hpa.org.uk","ways. It can be"," used by","  individuals"
"kented.org.uk","bindings are"," used by","  default  ("
"kented.org.uk","to the ` - ''"," used by","  cd  and pushd."
"ess.uwe.ac.uk","expressions"," used by","  doctors  and"
"ess.uwe.ac.uk",". Metaphors"," used by","  patients  and"
"clieuk.co.uk","tools"," used by","  reps  to assist"
"cain.ulst.ac.uk",", is now"," used by","  hundreds  of"
"network-box.co.uk","all terrorism"," used by","  peoples  in"
"careers-scotland.org.uk",". Most items"," used by","  people"
"lang.soton.ac.uk","the criteria"," used by","  accreditors"
"leighday.co.uk","the program"," used by","  web  designers"
"parentzonescotland.gov.uk","or ''botnets '',"," used by","  spammers"
"aspirations.english.cam.ac.uk","are"," used by","  control  flow"
